name,peak_no,peak_values,Time
GOLEN.GOL,p9,7,3/2/2022 19:45
JAMSHORO,p1,0,3/2/2022 17:15
JAMSHORO,p2,0,3/2/2022 17:30
JAMSHORO,p3,0,3/2/2022 17:45
JAMSHORO,p4,0,3/2/2022 18:15
JAMSHORO,p5,0,3/2/2022 18:30
JAMSHORO,p6,0,3/2/2022 18:45
JAMSHORO,p7,0,3/2/2022 19:15
JAMSHORO,p8,0,3/2/2022 19:30
JAMSHORO,p9,0,3/2/2022 19:45
KOTRI,p1,0,3/2/2022 17:15
KOTRI,p2,0,3/2/2022 17:30
KOTRI,p3,0,3/2/2022 17:45
KOTRI,p4,0,3/2/2022 18:15
KOTRI,p5,0,3/2/2022 18:30
KOTRI,p6,0,3/2/2022 18:45
KOTRI,p7,0,3/2/2022 19:15
KOTRI,p8,0,3/2/2022 19:30
KOTRI,p9,0,3/2/2022 19:45
LAKHRA,p1,0,3/2/2022 17:15
LAKHRA,p2,0,3/2/2022 17:30
LAKHRA,p3,0,3/2/2022 17:45
LAKHRA,p4,0,3/2/2022 18:15
LAKHRA,p5,0,3/2/2022 18:30
LAKHRA,p6,0,3/2/2022 18:45
LAKHRA,p7,0,3/2/2022 19:15
LAKHRA,p8,0,3/2/2022 19:30
LAKHRA,p9,0,3/2/2022 19:45
GUDDU...1.4,p1,0,3/2/2022 17:15
GUDDU...1.4,p2,0,3/2/2022 17:30
GUDDU...1.4,p3,0,3/2/2022 17:45
GUDDU...1.4,p4,0,3/2/2022 18:15
GUDDU...1.4,p5,0,3/2/2022 18:30
GUDDU...1.4,p6,0,3/2/2022 18:45
GUDDU...1.4,p7,0,3/2/2022 19:15
GUDDU...1.4,p8,0,3/2/2022 19:30
GUDDU...1.4,p9,0,3/2/2022 19:45
GUDDU...5.13,p1,234.1444,3/2/2022 17:15
GUDDU...5.13,p2,234.1444,3/2/2022 17:30
GUDDU...5.13,p3,234.1444,3/2/2022 17:45
GUDDU...5.13,p4,233.1606,3/2/2022 18:15
GUDDU...5.13,p5,233.1606,3/2/2022 18:30
GUDDU...5.13,p6,233.1606,3/2/2022 18:45
GUDDU...5.13,p7,233.1606,3/2/2022 19:15
GUDDU...5.13,p8,233.1606,3/2/2022 19:30
GUDDU...5.13,p9,233.1606,3/2/2022 19:45
GUDDU.747,p1,0,3/2/2022 17:15
GUDDU.747,p2,0,3/2/2022 17:30
GUDDU.747,p3,0,3/2/2022 17:45
GUDDU.747,p4,0,3/2/2022 18:15
GUDDU.747,p5,0,3/2/2022 18:30
GUDDU.747,p6,0,3/2/2022 18:45
GUDDU.747,p7,0,3/2/2022 19:15
GUDDU.747,p8,0,3/2/2022 19:30
GUDDU.747,p9,0,3/2/2022 19:45
QUETTA,p1,0,3/2/2022 17:15
QUETTA,p2,0,3/2/2022 17:30
QUETTA,p3,0,3/2/2022 17:45
QUETTA,p4,0,3/2/2022 18:15
QUETTA,p5,0,3/2/2022 18:30
QUETTA,p6,0,3/2/2022 18:45
QUETTA,p7,0,3/2/2022 19:15
QUETTA,p8,0,3/2/2022 19:30
QUETTA,p9,0,3/2/2022 19:45
MUZAFFARGARH,p1,0,3/2/2022 17:15
MUZAFFARGARH,p2,0,3/2/2022 17:30
MUZAFFARGARH,p3,0,3/2/2022 17:45
