Time,name,time_range_one,max_1,min_1,average,time_range_two,max_2,min_2,time_range_three,max_3,min_3
2022-03-02,SAPPHIRE,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-02,LIBERTY.TECH.,0100----2400,183,0,135.242424242424,0100----1600,183,0,1700---2400,183,0
2022-03-02,HUBCO.NAROWAL,0100----2400,156,0,95.6363636363636,0100----1600,155,0,1700---2400,156,0
2022-03-02,HALMORE,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-02,UCH.II,0100----2400,380,161,338.666666666667,0100----1600,376,161,1700---2400,380,375
2022-03-02,BHIKKI..QATPL.,0100----2400,567,500,546.454545454545,0100----1600,567,500,1700---2400,560,551
2022-03-02,SAHIWAL..COAL..HSR.,0100----2400,1255,666,1095.27272727273,0100----1600,1255,666,1700---2400,1254,666
2022-03-02,H.B.SHAH,0100----2400,1195,700,852.727272727273,0100----1600,1195,700,1700---2400,1109,706
2022-03-02,RESHMA.POWER,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-02,GULF.POWER,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-02,BALLOKI,0100----2400,1193,688,822.212121212121,0100----1600,1193,688,1700---2400,856,754
2022-03-02,PORT.QASIM.COAL,0100----2400,1254,666,1148.87878787879,0100----1600,1253,666,1700---2400,1250,1247
2022-03-02,ENGRO.THAR.COAL,0100----2400,243,151,202.606060606061,0100----1600,243,151,1700---2400,243,151
2022-03-02,CHINA.HUBCO.COAL,0100----2400,632,275,550.151515151515,0100----1600,632,275,1700---2400,629,276
2022-03-02,LUCKY.COAL,0100----2400,604,289,452.636363636364,0100----1600,604,289,1700---2400,464,363
2022-03-02,JDW.II..SADIQ.ABAD.,0100----2400,22,18,20.3333333333333,0100----1600,21,18,1700---2400,22,20
2022-03-02,JDW.III..GHOTKI.,0100----2400,22,17,20.2727272727273,0100----1600,22,17,1700---2400,22,20
2022-03-02,RYKML,0100----2400,20,18,18.8181818181818,0100----1600,20,19,1700---2400,19,18
2022-03-02,CHINIOT.POWER,0100----2400,41,40,40.9393939393939,0100----1600,41,41,1700---2400,41,40
2022-03-02,FATIMA.ENERGY..FEL.,0100----2400,39,22,34.1818181818182,0100----1600,37,28,1700---2400,38,22
2022-03-02,HAMZA.SUGAR,0100----2400,14,13,13.969696969697,0100----1600,14,13,1700---2400,14,14
2022-03-02,THALL.POWER..LAYYAH.,0100----2400,21,10,19.5757575757576,0100----1600,21,19,1700---2400,21,20
2022-03-02,ALMOIZ.INDUSTRIES.LIMITED,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-02,CHANAR.ENERGY.LIMITED,0100----2400,17,16,16.0909090909091,0100----1600,17,16,1700---2400,17,16
2022-03-02,CHASHNUPP...I,0100----2400,304,234,300.30303030303,0100----1600,304,304,1700---2400,304,234
2022-03-02,CHASHNUPP.II,0100----2400,314,244,310.272727272727,0100----1600,314,314,1700---2400,314,244
2022-03-02,CHASHNUPP.III,0100----2400,249,249,249,0100----1600,249,249,1700---2400,249,249
2022-03-02,CHASHNUPP.IV,0100----2400,318,248,314.848484848485,0100----1600,318,318,1700---2400,318,248
2022-03-02,K.2,0100----2400,1052,1035,1040.78787878788,0100----1600,1052,1035,1700---2400,1043,1039
2022-03-02,QUAID.AZAM.SOLAR,0100----2400,37,0,8.45454545454546,0100----1600,37,0,1700---2400,10,0
2022-03-02,APPOLO.SOLAR,0100----2400,40,0,9.45454545454546,0100----1600,40,0,1700---2400,12,0
2022-03-02,BEST.GREEN.SOLAR,0100----2400,38,0,9.06060606060606,0100----1600,38,0,1700---2400,10,0
2022-03-02,CREST.ENERGY.SOLAR,0100----2400,42,0,9.06060606060606,0100----1600,42,0,1700---2400,11,0
2022-03-02,FFCEL.WIND,0100----2400,17,0,6.3030303030303,0100----1600,15,0,1700---2400,17,1
2022-03-02,ZEPL.WIND,0100----2400,16,0,6.57575757575758,0100----1600,15,0,1700---2400,16,2
2022-03-02,TGF.WIND,0100----2400,17,0,7.39393939393939,0100----1600,12,0,1700---2400,17,2
2022-03-02,FWEL.I.WIND,0100----2400,27,0,8.3030303030303,0100----1600,27,0,1700---2400,12,0
2022-03-02,FWEL.II.WIND,0100----2400,26,0,7.96969696969697,0100----1600,26,0,1700---2400,11,0
2022-03-02,SAPPHIRE.WIND,0100----2400,23,0,7.81818181818182,0100----1600,10,0,1700---2400,23,3
2022-03-02,METRO.WIND..MPCL.,0100----2400,25,0,10.2727272727273,0100----1600,12,0,1700---2400,25,5
2022-03-02,YOUNIS.WIND,0100----2400,22,0,8.81818181818182,0100----1600,16,0,1700---2400,22,3
2022-03-02,TAPAL.WIND.TWEPL.,0100----2400,9,0,2.96969696969697,0100----1600,8,0,1700---2400,9,2
2022-03-02,MASTER.WIND..MWEL.,0100----2400,26,0,9.09090909090909,0100----1600,14,0,1700---2400,23,3
2022-03-02,TAPAL.WIND..2,0100----2400,20,0,7.15151515151515,0100----1600,20,0,1700---2400,20,3
2022-03-02,GUL.AHMED.WIND,0100----2400,24,0,9.6969696969697,0100----1600,18,0,1700---2400,24,3
2022-03-02,ARTISTIC.WIND..2,0100----2400,23,0,8,0100----1600,19,0,1700---2400,23,2
2022-03-02,SACHAL.WIND,0100----2400,24,0,9.33333333333333,0100----1600,15,0,1700---2400,24,5
2022-03-02,UEP.WIND.POWER,0100----2400,33,0,13.4242424242424,0100----1600,17,0,1700---2400,33,8
2022-03-02,ARTISTIC.WIND,0100----2400,27,0,7.6969696969697,0100----1600,24,0,1700---2400,27,4
2022-03-02,JHIMPIR.POWER,0100----2400,35,0,13.1212121212121,0100----1600,17,0,1700---2400,29,6
