Time,Name,category,Energy_MWh
3/2/2022 00:00,CREST.ENERGY.SOLAR,Solar,0
3/2/2022 00:00,FFCEL.WIND,Wind,14
3/2/2022 00:00,ZEPL.WIND,Wind,14
3/2/2022 00:00,TGF.WIND,Wind,15
3/2/2022 00:00,FWEL.I.WIND,Wind,0
3/2/2022 00:00,FWEL.II.WIND,Wind,5
3/2/2022 00:00,SAPPHIRE.WIND,Wind,23
3/2/2022 00:00,METRO.WIND..MPCL.,Wind,23
3/2/2022 00:00,YOUNIS.WIND,Wind,22
3/2/2022 00:00,TAPAL.WIND.TWEPL.,Wind,9
3/2/2022 00:00,MASTER.WIND..MWEL.,Wind,21
3/2/2022 00:00,TAPAL.WIND..2,Wind,20
3/2/2022 00:00,GUL.AHMED.WIND,Wind,24
3/2/2022 00:00,ARTISTIC.WIND..2,Wind,23
3/2/2022 00:00,SACHAL.WIND,Wind,24
3/2/2022 00:00,UEP.WIND.POWER,Wind,33
3/2/2022 00:00,ARTISTIC.WIND,Wind,27
3/2/2022 00:00,JHIMPIR.POWER,Wind,26
3/2/2022 00:00,HAWA.WIND..HEPL.,Wind,33
3/2/2022 00:00,TGT.WIND,Wind,23
3/2/2022 00:00,TGS.ENERGY,Wind,22
3/2/2022 00:00,TRICON.BOSTON..A.,Wind,15
3/2/2022 00:00,TRICON.BOSTON..B.,Wind,19
3/2/2022 00:00,TRICON.BOSTON..C.,Wind,26
3/2/2022 00:00,MASTER.GREEN.WIND,Wind,40
3/2/2022 00:00,TRICOM.WIND,Wind,31
3/2/2022 00:00,TENAGA.WIND,Wind,1
3/2/2022 00:00,DAWOOD.WIND,Wind,3
3/2/2022 00:00,ZEPHYR.WIND,Wind,7
3/2/2022 00:00,INDUS.WIND,Wind,21
3/2/2022 01:00,TARBELA,Hydel,340
3/2/2022 01:00,TARBELA.Ext.4,Hydel,0
3/2/2022 01:00,MANGLA,Hydel,532
3/2/2022 01:00,GHAZI.BROTHA,Hydel,0
3/2/2022 01:00,WARSAK,Hydel,30
3/2/2022 01:00,CHASHMA,Hydel,51
3/2/2022 01:00,JINNAH.HYDEL,Hydel,17
3/2/2022 01:00,ALLAI.KHWAR,Hydel,0
3/2/2022 01:00,KHAN.KHWAR,Hydel,14
3/2/2022 01:00,DUBAIR.KHWAR,Hydel,0
3/2/2022 01:00,NEELUM.JEHLUM,Hydel,121
3/2/2022 01:00,GOLEN.GOL,Hydel,6
3/2/2022 01:00,JAMSHORO,Genco1,0
3/2/2022 01:00,KOTRI,Genco1,0
3/2/2022 01:00,LAKHRA,Genco1,0
3/2/2022 01:00,GUDDU...1.4,Genco1,0
3/2/2022 01:00,GUDDU...5.13,Genco2,233.16
3/2/2022 01:00,GUDDU.747,Genco2,0
3/2/2022 01:00,QUETTA,Genco2,0
3/2/2022 01:00,MUZAFFARGARH,Genco3,0
3/2/2022 01:00,MULTAN,Genco3,0
3/2/2022 01:00,GTPS.FAISALABAD,Genco3,0
3/2/2022 01:00,SPS.FBD,Genco3,0
3/2/2022 01:00,SHAHDARA,Genco3,0
3/2/2022 01:00,NANDI.PUR,Genco3,0
3/2/2022 01:00,JAGRAN,IPPs Hydel,3
3/2/2022 01:00,MALAKAND...III,IPPs Hydel,21
3/2/2022 01:00,NEW.BONG.ESCAPE,IPPs Hydel,73
3/2/2022 01:00,PATRIND,IPPs Hydel,0
3/2/2022 01:00,DARAL.KHWAR..BEHREN.,IPPs Hydel,5
3/2/2022 01:00,GUL.PUR,IPPs Hydel,33
3/2/2022 01:00,KAPCO,IPPs Fossil Fuel,0
3/2/2022 01:00,HUBCO,IPPs Fossil Fuel,0
3/2/2022 01:00,KEL,IPPs Fossil Fuel,0
3/2/2022 01:00,AES.LALPIR,IPPs Fossil Fuel,0
3/2/2022 01:00,AES.PAKGEN,IPPs Fossil Fuel,0
3/2/2022 01:00,SEPCOL,IPPs Fossil Fuel,0
3/2/2022 01:00,HCPC,IPPs Fossil Fuel,0
